id,kind,grid_x,grid_y,footprint_w,footprint_h,entry_dx,entry_dy,asset_id,initial_placed,buildable,cost,workpoint_offsets
existing_home_a,building,1,1,2,2,1,2,resident_house_a,true,false,0,1:2
loading_dock,building,7,8,3,2,1,-1,loading_yard,true,false,0,1:-1
road_home_a,road,2,3,1,1,0,0,road_base,true,false,0,
road_mid_a,road,3,3,1,1,0,0,road_base,true,false,0,
road_mid_b,road,4,3,1,1,0,0,road_base,true,false,0,
road_pasture_a,road,4,4,1,1,0,0,road_base,true,false,0,
road_pasture_b,road,4,5,1,1,0,0,road_base,true,false,0,
road_pasture_gate,road,4,6,1,1,0,0,road_base,true,false,0,
road_carry_a,road,5,6,1,1,0,0,road_base,true,false,0,
road_carry_b,road,5,7,1,1,0,0,road_base,true,false,0,
road_creamery_gate,road,6,7,1,1,0,0,road_base,true,false,0,
road_dock_a,road,7,7,1,1,0,0,road_base,true,false,0,
road_dock_gate,road,8,7,1,1,0,0,road_base,true,false,0,
road_house_b_entry,road,6,3,1,1,0,0,road_base,true,false,0,
road_life_b,road,5,3,1,1,0,0,road_life_tile,false,true,5,0:0
resident_house_b,building,6,1,2,2,0,2,resident_house_b,false,true,100,0:2
dairy_pasture,building,1,5,3,3,3,1,dairy_pasture,false,true,80,2:1|1:1|0:1
creamery,building,6,5,2,2,0,2,creamery,false,true,90,0:1|1:1|0:2
