id,kind,grid_x,grid_y,footprint_w,footprint_h,entry_x,entry_y,asset_id,initial_state,interactive,value
tile_width,setting,,,,,,,,,,96
tile_height,setting,,,,,,,,,,48
origin_x,setting,,,,,,,,,,360
origin_y,setting,,,,,,,,,,225
initial_coins,setting,,,,,,,,,,180
house_build_cost,setting,,,,,,,,,,120
autosave_seconds,setting,,,,,,,,,,5
save_schema,setting,,,,,,,,,,3
home_plot,house,1,1,2,2,2,3,resident_house,unbuilt,true,
road_home,road,2,3,1,1,2,3,road_tile,built,true,
road_center_a,road,3,3,1,1,3,3,road_tile,built,true,
road_center_b,road,4,3,1,1,4,3,road_tile,built,true,
road_workshop,road,5,3,1,1,5,3,road_tile,built,true,
road_yard_a,road,6,3,1,1,6,3,road_tile,built,true,
road_yard_b,road,6,4,1,1,6,4,road_tile,built,true,
field_wheat,field,3,4,1,1,3,3,wheat_field,built,true,
workshop_granary,workplace,5,1,2,2,5,3,workshop_granary,built,true,
loading_yard,loading,5,5,3,2,6,4,loading_yard,built,true,
